Date,Open,High,Low,Close,VWAP
2015-01-02,207.84,208.32,205.64,206.73,206.76772
2015-01-05,205.62,205.79,202.76,203.1,203.733195
2015-01-06,203.51,204.12,200.25,201.27,202.047453
2015-01-07,202.84,204.14,202.3,203.76,203.357253
2015-01-08,205.45,207.5899,205.43,207.4,206.872262
2015-01-09,207.84,207.85,204.9446,205.65,205.945671
2015-01-12,205.85,206.03,203.3501,204.09,204.14038
2015-01-13,205.56,206.91,201.95,203.56,204.368867
2015-01-14,201.05,202.49,199.97,202.33,201.502973
2015-01-15,203.03,203.42,200.28,200.43,201.346744
2015-01-16,200.18,203.23,199.9453,203.0,201.59561
2015-01-20,203.79,204.12,201.59,203.5,202.790873
2015-01-21,202.92,205.07,202.37,204.5,204.046485
2015-01-22,205.44,207.71,203.76,207.5,206.158088
2015-01-23,207.2,207.54,206.24,206.39,206.990404
2015-01-26,206.18,207.01,205.29,206.94,206.439185
2015-01-27,204.44,205.55,203.15,204.16,204.231897
2015-01-28,205.63,205.72,201.33,201.52,203.849458
2015-01-29,201.73,203.72,200.08,203.45,201.600292
2015-01-30,201.99,203.58,200.54,200.87,202.06364
2015-02-02,201.48,203.43,199.27,203.31,201.310142
2015-02-03,204.42,206.29,204.0,206.2,205.077584
2015-02-04,205.39,206.82,204.96,205.47,205.821383
2015-02-05,206.32,207.744,206.23,207.62,207.138766
2015-02-06,208.02,208.72,206.4,206.95,207.804887
2015-02-09,206.21,207.09,205.58,206.06,206.407405
2015-02-10,207.33,208.57,206.26,208.29,207.359823
2015-02-11,208.07,208.8934,207.27,208.39,208.084255
2015-02-12,209.38,210.45,209.15,210.33,209.966967
2015-02-13,210.51,211.31,210.24,211.28,210.838962
2015-02-17,210.89,211.8,210.59,211.66,211.24624
2015-02-18,211.13,211.7,210.82,211.62,211.262191
2015-02-19,210.92,211.9,210.72,211.45,211.380705
2015-02-20,210.94,212.8,210.232,212.74,211.551995
2015-02-23,212.44,212.71,211.97,212.67,212.357643
2015-02-24,212.62,213.5499,212.27,213.31,213.045983
2015-02-25,213.16,213.74,212.73,213.15,213.242974
2015-02-26,213.06,213.19,212.16,212.91,212.769137
2015-02-27,212.77,213.085,212.15,212.21,212.5589
2015-03-02,212.27,213.56,212.25,213.56,213.209819
2015-03-03,212.97,213.0736,211.57,212.6,212.355337
2015-03-04,211.91,211.97,210.55,211.71,211.452128
2015-03-05,212.11,212.28,211.35,211.93,211.912154
2015-03-06,210.9,211.42,208.56,208.98,209.801466
2015-03-09,209.18,210.24,209.1,209.85,209.723026
2015-03-10,208.17,208.23,206.4,206.4214,207.195684
2015-03-11,206.74,206.94,205.83,205.98,206.418929
2015-03-12,206.7,208.63,206.63,208.55,208.025052
2015-03-13,208.2,208.391,206.01,207.27,207.013532
2015-03-16,208.17,210.15,208.14,210.14,209.447594
2015-03-17,209.21,209.8878,208.45,209.43,209.205347
2015-03-18,208.87,212.76,208.08,211.9,210.489733
2015-03-19,211.45,211.78,210.52,210.99,211.061939
2015-03-20,212.12,213.45,212.04,212.85,212.825335
2015-03-23,212.86,213.53,212.44,212.5,213.059722
2015-03-24,212.22,212.82,211.15,211.17,211.985849
2015-03-25,210.47,210.77,207.11,207.19,208.32978
2015-03-26,206.35,207.74,205.5,206.68,206.63494
2015-03-27,206.53,207.33,206.29,207.1,206.95193
2015-03-30,208.35,209.99,208.35,209.62,209.4415
2015-03-31,208.64,209.4889,207.76,207.83,208.536654
2015-04-01,207.77,207.78,205.88,207.18,206.657196
2015-04-02,207.0,208.35,206.76,207.76,207.690476
2015-04-06,206.76,209.85,206.59,209.28,209.017492
2015-04-07,209.23,210.15,208.65,208.66,209.568271
2015-04-08,208.97,209.89,208.46,209.41,209.260045
2015-04-09,209.2,210.57,208.6,210.33,209.700637
2015-04-10,210.59,211.49,210.37,211.43,211.095628
2015-04-13,211.31,212.03,210.46,210.46,211.217176
2015-04-14,210.27,211.11,209.49,210.83,210.530776
2015-04-15,211.48,212.45,211.35,211.91,212.036664
2015-04-16,211.46,212.38,211.21,211.81,211.829047
2015-04-17,210.37,210.62,208.4,209.36,209.536359
2015-04-20,210.48,211.65,210.38,211.28,211.264784
2015-04-21,212.1,212.26,210.66,211.06,211.270461
2015-04-22,211.44,212.26,210.32,212.08,211.550038
2015-04-23,211.58,213.37,211.45,212.61,212.656226
2015-04-24,213.07,213.39,212.52,213.08,213.010424
2015-04-27,213.77,213.88,211.95,212.24,212.842706
2015-04-28,212.16,212.92,210.75,212.82,212.398878
2015-04-29,211.75,212.7099,211.03,211.99,211.978274
2015-04-30,211.3,211.76,209.02,209.85,210.384111
2015-05-01,210.81,212.19,210.7,212.12,211.438226
2015-05-04,212.65,213.42,212.53,212.8,212.991953
2015-05-05,212.43,212.85,210.13,210.34,211.147788
2015-05-06,210.94,211.33,208.145,209.47,209.395064
2015-05-07,209.31,210.76,208.92,210.29,210.178704
2015-05-08,212.28,213.28,212.22,213.03,212.925641
2015-05-11,213.0,213.3,211.94,212.0,212.6601
2015-05-12,211.0,212.04,210.02,211.35,211.171827
2015-05-13,211.92,212.64,211.14,211.43,211.70381
2015-05-14,212.7,213.75,212.34,213.69,213.24915
2015-05-15,213.89,214.03,213.3,213.91,213.642381
2015-05-18,213.7,214.86,213.62,214.54,214.376591
2015-05-19,214.7,215.0001,214.12,214.5,214.533829
2015-05-20,214.59,215.23,213.95,214.29,214.470078
2015-05-21,214.17,215.18,213.95,214.91,214.832884
2015-05-22,214.47,214.98,214.35,214.46,214.661797
2015-05-26,213.84,213.9399,211.63,212.13,212.318933
2015-05-27,212.7,214.42,212.28,214.16,213.669646
2015-05-28,213.77,214.03,213.0501,213.88,213.573378
2015-05-29,213.8,213.86,212.25,212.58,212.902779
2015-06-01,213.35,213.7699,212.05,212.95,213.040475
2015-06-02,212.45,213.6,211.68,212.78,212.776519
2015-06-03,213.39,214.1,212.76,213.38,213.449792
2015-06-04,212.49,213.19,211.16,211.66,211.742465
2015-06-05,211.3,211.9803,210.3818,211.19,211.289505
2015-06-08,211.05,211.2,209.78,209.89,210.400849
2015-06-09,209.91,210.47,209.1,209.82,209.966574
2015-06-10,210.94,212.82,210.66,212.31,212.245549
2015-06-11,212.93,213.5,212.64,213.09,213.02788
2015-06-12,212.08,212.23,211.1,211.41,211.493154
